식품군	식품명
채소류	"고추(빨간색)"
채소류	"고추(초록색)"
채소류	"고추(풋고추)"
채소류	"고추(꽈리고추)"
채소류	"고추(오이고추)"
채소류	"고추(청양고추)"
채소류	"고춧잎"
채소류	"고추냉이"
채소류	"곤달비"
채소류	"공심채"
채소류	"꾸지뽕"
채소류	"구기자"
채소류	"국화꽃"
채소류	"근대"
채소류	"갓김치"
채소류	"고들빼기 김치"
채소류	"깍두기"
채소류	"나박 김치"
채소류	"동치미"
채소류	"배추 김치"
채소류	"백김치"
채소류	"열무 김치"
채소류	"열무 물김치"
채소류	"오이 소박이"
채소류	"유채 김치"
채소류	"유채 물김치"
채소류	"총각 김치"
채소류	"파 김치"
채소류	"얼갈이배추 김치"
채소류	"꽃양배추(콜리플라워)"
채소류	"꿀풀(하고초)"
채소류	"날개콩"
채소류	"냉이것"
채소류	"누리장나무잎"
채소류	"는쟁이냉이"
채소류	"달래"
채소류	"당귀"
채소류	"당근"
채소류	"대나무순(죽순)"
채소류	"더덕"
채소류	"도라지"
채소류	"돌나물"
채소류	"동아"
채소류	"두릅"
채소류	"둥굴레"
채소류	"들깨것"
채소류	"들깻잎"
채소류	"루꼴라"
채소류	"리크"
채소류	"마늘"
채소류	"다진마늘"
채소류	"마늘종"
채소류	"풋마늘"
채소류	"마타리"
채소류	"머위"
채소류	"메밀"
채소류	"모링가"
채소류	"모시풀"
채소류	"무"
채소류	"무청"
채소류	"무순"
채소류	"무 절임"
채소류	"무말랭이"
채소류	"물냉이것"
채소류	"물쑥"
채소류	"미나리"
채소류	"민들레"
채소류	"바젤라"
채소류	"바질"
채소류	"박"
채소류	"박고지"
채소류	"박쥐나무잎"
채소류	"방가지똥"
채소류	"방울다다기양배추"
채소류	"배암차즈기(곰보배추)"
채소류	"배초향(방아)"
채소류	"배추싹"
채소류	"얼갈이배추"
채소류	"백모근"
채소류	"백합"
채소류	"보리"
채소류	"뽕잎"
채소류	"부지깽이(섬쑥부쟁이)것"
채소류	"부추"
채소류	"브로콜리"
채소류	"비비추(이밥추)"
채소류	"비타민채(다채)것"
채소류	"비트뿌리"
채소류	"비트잎"
채소류	"사탕무"
채소류	"사탕수수"
채소류	"산마늘(명이나물)"
채소류	"삼나물"
채소류	"삼붕냐와"
채소류	"삼채"
채소류	"상추"
채소류	"생강"
채소류	"선인장"
채소류	"섬초롱"
채소류	"셀러리"
채소류	"소리쟁이잎"
채소류	"쇠귀나물"
채소류	"수리취(떡취)"
채소류	"숙주나물"
채소류	"순무"
채소류	"스테비아"
채소류	"시금치"
채소류	"신선초(명일엽)"
채소류	"쌈추"
채소류	"쑥"
채소류	"쑥갓"
채소류	"쑥부쟁이"
채소류	"씀바귀"
채소류	"씀바귀뿌리"
채소류	"아스파라거스"
채소류	"아욱"
채소류	"아이비카"
채소류	"아주까리"
채소류	"아티초크"
